city,city_ascii,lat,lng,country,admin_name,population
"Sarria","Sarria",42.7833,-7.4167,"Spain","Galicia",13459
"Valdemorillo","Valdemorillo",40.5017,-4.0667,"Spain","Madrid",13453
"Canals","Canals",38.9611,-0.585,"Spain","Valencia",13415
"Godella","Godella",39.52,-0.4114,"Spain","Valencia",13414
"Arruda dos Vinhos","Arruda dos Vinhos",38.9833,-9.0667,"Portugal","Lisboa",13391
"Ribeira Brava","Ribeira Brava",32.6722,-17.0639,"Portugal","Madeira",13375
"Albatera","Albatera",38.1786,-0.8681,"Spain","Valencia",13296
"Guillena","Guillena",37.5333,-6.05,"Spain","Andalusia",13279
"Torredonjimeno","Torredonjimeno",37.7667,-3.95,"Spain","Andalusia",13261
"Betanzos","Betanzos",43.2792,-8.2106,"Spain","Galicia",13261
"Aldeia de Paio Pires","Aldeia de Paio Pires",38.6272,-9.0761,"Portugal","Setúbal",13258
"Muriedas","Muriedas",43.4303,-3.8603,"Spain","Cantabria",13216
"Fátima","Fatima",39.6256,-8.6658,"Portugal","Santarém",13212
"Aguilar","Aguilar",37.5167,-4.65,"Spain","Andalusia",13210
"Bombarral","Bombarral",39.2672,-9.1581,"Portugal","Leiria",13193
"Vila Pouca de Aguiar","Vila Pouca de Aguiar",41.4833,-7.6333,"Portugal","Vila Real",13187
"Gibraleón","Gibraleon",37.3753,-6.9694,"Spain","Andalusia",13144
"Alovera","Alovera",40.5967,-3.2481,"Spain","Castille-La Mancha",13142
"Miranda do Corvo","Miranda do Corvo",40.1,-8.3333,"Portugal","Coimbra",13098
"La Llagosta","La Llagosta",41.5156,2.1928,"Spain","Catalonia",13085
"Lamaçães","Lamacaes",41.5444,-8.3947,"Portugal","Braga",13054
"Alcácer do Sal","Alcacer do Sal",38.3725,-8.5133,"Portugal","Setúbal",13046
"Abrera","Abrera",41.5167,1.9,"Spain","Catalonia",13014
"Abarán","Abaran",38.2031,-1.4003,"Spain","Murcia",13000
"Vieira do Minho","Vieira do Minho",41.6333,-8.1333,"Portugal","Braga",12997
"Castellbisbal","Castellbisbal",41.476,1.983,"Spain","Catalonia",12972
"Berja","Berja",36.8453,-2.9469,"Spain","Andalusia",12939
"Campo de Criptana","Campo de Criptana",39.4,-3.1167,"Spain","Castille-La Mancha",12932
"Vejer de la Frontera","Vejer de la Frontera",36.25,-5.9667,"Spain","Andalusia",12915
"Sant Sadurní d’Anoia","Sant Sadurni d'Anoia",41.4261,1.785,"Spain","Catalonia",12915
"Moreira","Moreira",41.2486,-8.6497,"Portugal","Porto",12890
"Santañy","Santany",39.3542,3.1283,"Spain","Balearic Islands",12887
"Brenes","Brenes",37.55,-5.8667,"Spain","Andalusia",12883
"Teror","Teror",28.0589,-15.5475,"Spain","Canary Islands",12878
"Capdepera","Capdepera",39.7,3.4167,"Spain","Balearic Islands",12860
"Argentona","Argentona",41.55,2.4,"Spain","Catalonia",12844
"Aldoar","Aldoar",41.1695,-8.6671,"Portugal","Porto",12843
"Ceuti","Ceuti",38.0789,-1.2722,"Spain","Murcia",12842
"Teulada","Teulada",38.7292,0.1019,"Spain","Valencia",12834
"Velilla de San Antonio","Velilla de San Antonio",40.3667,-3.4833,"Spain","Madrid",12770
"Monóvar","Monovar",38.4369,-0.8381,"Spain","Valencia",12764
"Vilanova del Camí","Vilanova del Cami",41.5667,1.6333,"Spain","Catalonia",12758
"São Félix da Marinha","Sao Felix da Marinha",41.0339,-8.6233,"Portugal","Porto",12706
"Palos de la Frontera","Palos de la Frontera",37.2283,-6.8944,"Spain","Andalusia",12663
"Salobreña","Salobrena",36.7467,-3.5869,"Spain","Andalusia",12660
"Mongat","Mongat",41.469,2.2805,"Spain","Catalonia",12625
"Valverde del Camino","Valverde del Camino",37.5667,-6.75,"Spain","Andalusia",12611
"Sabugal","Sabugal",40.3519,-7.0894,"Portugal","Guarda",12544
"Fene","Fene",43.4667,-8.1667,"Spain","Galicia",12530
"Torroella de Montgrí","Torroella de Montgri",42.0439,3.1286,"Spain","Catalonia",12521
"Mira","Mira",40.4285,-8.7363,"Portugal","Coimbra",12465
"Sátão","Satao",40.7333,-7.7167,"Portugal","Viseu",12444
"Albox","Albox",37.3833,-2.1333,"Spain","Andalusia",12408
"Estepa","Estepa",37.2917,-4.8792,"Spain","Andalusia",12394
"Arcozelo","Arcozelo",41.0555,-8.6395,"Portugal","Porto",12393
"Bayona","Bayona",42.1178,-8.8506,"Spain","Galicia",12380
"Santiago del Teide","Santiago del Teide",28.2972,-16.8139,"Spain","Canary Islands",12373
"Villafranca de los Barros","Villafranca de los Barros",38.5667,-6.3333,"Spain","Extremadura",12362
"Sever do Vouga","Sever do Vouga",40.7167,-8.3667,"Portugal","Aveiro",12356
"Benaguacil","Benaguacil",39.5933,-0.5864,"Spain","Valencia",12336
"Benisa","Benisa",38.715,0.05,"Spain","Valencia",12317
"Huétor Vega","Huetor Vega",37.15,-3.5667,"Spain","Andalusia",12294
"Pola de Laviana","Pola de Laviana",43.2358,-5.5563,"Spain","Asturias",12284
"Béjar","Bejar",40.3833,-5.7667,"Spain","Castille-Leon",12269
"Son Servera","Son Servera",39.6208,3.36,"Spain","Balearic Islands",12261
